"id","title","author","description","genres","goodreads_rating","amazon_rating","bookish_rating","fantastic_fiction_rating","book_depository_rating"
"1","To Kill a Mockingbird","Harper Lee","A classic novel that explores racial injustice and moral growth in the American South during the 1930s.","Fiction","4.28","4.7","4.2","4.1","4.5"
"2","The Great Gatsby","F. Scott Fitzgerald","Set in the Roaring Twenties, this novel explores the decadence and excess of the Jazz Age in America.","Classic, Fiction","3.91","4.3","4","3.8","4.2"
"3","1984","George Orwell","A chilling vision of a totalitarian regime and the dangers of absolute power.","Dystopian, Fiction","4.18","4.6","4.4","4.3","4.5"
"4","Pride and Prejudice","Jane Austen","A witty exploration of love, social class, and self-discovery.","Classic, Romance","4.26","4.8","4.5","4.2","4.6"
"5","The Catcher in the Rye","J.D. Salinger","A coming-of-age story about teenage angst and rebellion.","Classic, Fiction","3.81","4.1","3.9","3.8","4"
"6","The Hobbit","J.R.R. Tolkien","A prelude to The Lord of the Rings, exploring Bilbo Baggins unexpected journey.","Fantasy, Adventure","4.27","4.8","4.6","4.5","4.7"
"7","The Alchemist","Paulo Coelho","A philosophical tale of a shepherd seeking his personal legend.","Philosophy, Adventure","3.88","4.5","4.3","4.1","4.4"
"8","Harry Potter and the Sorcerers Stone","J.K. Rowling","The magical journey of a young wizard discovering his destiny.","Fantasy, Young Adult","4.47","4.9","4.8","4.6","4.7"
"9","The Kite Runner","Khaled Hosseini","A gripping tale of friendship, betrayal, and redemption.","Fiction, Drama","4.34","4.7","4.5","4.3","4.6"
"10","The Da Vinci Code","Dan Brown","A fast-paced thriller exploring art, religion, and historical secrets.","Thriller, Mystery","3.89","4.4","4.2","4.1","4.3"
"11","Moby Dick","Herman Melville","An epic tale of obsession and revenge between a whaling captain and a white whale.","Adventure","3.52","4","3.8","3.7","4.1"
"12","The Lord of the Rings","J.R.R. Tolkien","An epic saga of friendship, courage, and the struggle between good and evil.","Fantasy, Epic","4.5","4.9","4.8","4.7","4.8"
"13","War and Peace","Leo Tolstoy","A masterpiece that interweaves love, war, and family in the backdrop of the Napoleonic era.","Historical, Epic","4.11","4.6","4.3","4.5","4.4"
"14","Crime and Punishment","Fyodor Dostoevsky","A psychological exploration of guilt, morality, and redemption.","Philosophical Fiction, Drama","4.26","4.5","4.4","4.3","4.5"
"15","The Brothers Karamazov","Fyodor Dostoevsky","A profound examination of faith, morality, and human nature through the story of three brothers.","Philosophical Fiction, Family Drama","4.32","4.6","4.5","4.4","4.4"
"16","One Hundred Years of Solitude","Gabriel García Márquez","The multi-generational story of the Buendía family in the fictional town of Macondo.","Magical Realism","4.06","4.4","4.2","4.1","4.3"
"17","Brave New World","Aldous Huxley","A visionary dystopian novel that examines the dehumanizing effects of technology and control.","Dystopian, Science Fiction","3.99","4.5","4.3","4.2","4.4"
"18","Jane Eyre","Charlotte Brontë","A story of resilience, independence, and love in the face of adversity.","Classic, Romance","4.14","4.6","4.4","4.3","4.4"
"19","Wuthering Heights","Emily Brontë","A dark and passionate tale of love and revenge set on the moors.","Gothic Fiction, Tragedy","3.87","4.4","4.1","4","4.3"
"20","A Tale of Two Cities","Charles Dickens","A dramatic story of love, sacrifice, and revolution in 18th-century France.","Historical, Fiction","3.85","4.5","4.2","4.1","4.2"
"21","Don Quixote","Miguel de Cervantes","A humorous yet profound tale of chivalry and the quest for idealism.","Adventure, Satire","3.9","4.3","4","3.9","4.1"
